Street_ID,Full_Street_Name,Risk_Score_Below15,Bus_Stops,Local_Business,GoodRoadRating,FairRoadRating,PoorRoadRating,SewerConfl,Engineerin,NationalGr,ProjectInPastFiveYears,Length_0to100,Length_101to200,Length_201to300,Length_301to400,Length_401to500,Length_501OrMore,PrimaryRoad,SecondaryRoad,LocalRoad
12572110,1699 SOUTH AVE,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12576766,3597 S SALINA ST,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12572839,1609 W GENESEE ST,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12578252,1231 ERIE BLVD E,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12564396,5827 S SALINA ST,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12580415,1621 JAMES ST,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12577337,1399 S SALINA ST,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12576664,459 E SENECA TPKE,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577831,199 ERIE BLVD E,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12571963,397 VALLEY DR,1,1,0,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,1,0,0
12576601,4799 S SALINA ST,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12577844,199 JAMES ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577835,299 ERIE BLVD E,1,0,0,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,1,0,0
12575161,1499 N STATE ST,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12564369,5799 S SALINA ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12575143,1299 N STATE ST,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
